Month,Breakdown,Country,Number of Tourists
Apr-14,Europe,Germany,10273.0
Apr-14,Europe,Italy,6994.0
Apr-14,Europe,Russia,5568.0
Apr-14,Europe,United Kingdom,9462.0
Apr-14,Asia,China,24034.0
Apr-14,Asia,India,3622.0
Apr-14,Europe,France,5537.0
May-14,Europe,Germany,8365.0
May-14,Europe,Italy,1847.0
May-14,Europe,Russia,4878.0
May-14,Europe,United Kingdom,7081.0
May-14,Asia,China,29685.0
May-14,Asia,India,4612.0
May-14,Europe,France,3290.0
Jun-14,Europe,Germany,5416.0
Jun-14,Europe,Italy,1793.0
Jun-14,Europe,Russia,4312.0
Jun-14,Europe,United Kingdom,5415.0
Jun-14,Asia,China,30000.0
Jun-14,Asia,India,3847.0
Jun-14,Europe,France,1203.0
Jul-14,Europe,Germany,5371.0
Jul-14,Europe,Italy,2742.0
Jul-14,Europe,Russia,4624.0
Jul-14,Europe,United Kingdom,6567.0
Jul-14,Asia,China,43269.0
Jul-14,Asia,India,3222.0
Jul-14,Europe,France,1337.0
Aug-14,Europe,Germany,7293.0
Aug-14,Europe,Italy,4717.0
Aug-14,Europe,Russia,4896.0
Aug-14,Europe,United Kingdom,7742.0
Aug-14,Asia,China,37895.0
Aug-14,Asia,India,3119.0
Aug-14,Europe,France,2437.0
Sep-14,Europe,Germany,8163.0
Sep-14,Europe,Italy,2819.0
Sep-14,Europe,Russia,4047.0
Sep-14,Europe,United Kingdom,7038.0
Sep-14,Asia,China,34425.0
Sep-14,Asia,India,3258.0
Sep-14,Europe,France,1955.0
Oct-14,Europe,Germany,11490.0
Oct-14,Europe,Italy,2694.0
Oct-14,Europe,Russia,5632.0
Oct-14,Europe,United Kingdom,8017.0
Oct-14,Asia,China,33828.0
Oct-14,Asia,India,4646.0
Oct-14,Europe,France,4001.0
Nov-14,Europe,Germany,9483.0
Nov-14,Europe,Italy,3583.0
Nov-14,Europe,Russia,5273.0
Nov-14,Europe,United Kingdom,6442.0
Nov-14,Asia,China,24729.0
Nov-14,Asia,India,3117.0
Nov-14,Europe,France,3516.0
Dec-14,Europe,Germany,7924.0
Dec-14,Europe,Italy,8386.0
Dec-14,Europe,Russia,4486.0
Dec-14,Europe,United Kingdom,7643.0
Dec-14,Asia,China,18231.0
Dec-14,Asia,India,6042.0
Dec-14,Europe,France,5440.0
Jan-15,Europe,Germany,7093.0
Jan-15,Europe,Italy,8039.0
Jan-15,Europe,Russia,5790.0
Jan-15,Europe,United Kingdom,7150.0
Jan-15,Asia,China,20469.0
Jan-15,Asia,India,3922.0
Jan-15,Europe,France,5694.0
Feb-15,Europe,Germany,8879.0
Feb-15,Europe,Italy,8224.0
Feb-15,Europe,Russia,2882.0
Feb-15,Europe,United Kingdom,8752.0
Feb-15,Asia,China,43349.0
Feb-15,Asia,India,4235.0
Feb-15,Europe,France,6690.0
Mar-15,Europe,Germany,12203.0
Mar-15,Europe,Italy,9725.0
Mar-15,Europe,Russia,4048.0
Mar-15,Europe,United Kingdom,9256.0
Mar-15,Asia,China,25069.0
Mar-15,Asia,India,3654.0
Mar-15,Europe,France,5272.0
Apr-15,Europe,Germany,8388.0
Apr-15,Europe,Italy,5686.0
Apr-15,Europe,Russia,3855.0
Apr-15,Europe,United Kingdom,8793.0
Apr-15,Asia,China,26398.0
Apr-15,Asia,India,3750.0
Apr-15,Europe,France,4973.0
May-15,Europe,Germany,10371.0
May-15,Europe,Italy,2163.0
May-15,Europe,Russia,3053.0
May-15,Europe,United Kingdom,6867.0
May-15,Asia,China,30864.0
May-15,Asia,India,5387.0
May-15,Europe,France,2815.0
Jun-15,Europe,Germany,4927.0
Jun-15,Europe,Italy,2017.0
Jun-15,Europe,Russia,2500.0
Jun-15,Europe,United Kingdom,5923.0
Jun-15,Asia,China,31965.0
Jun-15,Asia,India,4390.0
Jun-15,Europe,France,749.0
Jul-15,Europe,Germany,5859.0
Jul-15,Europe,Italy,2538.0
Jul-15,Europe,Russia,3180.0
Jul-15,Europe,United Kingdom,7174.0
Jul-15,Asia,China,41527.0
Jul-15,Asia,India,3376.0
Jul-15,Europe,France,1081.0
Aug-15,Europe,Germany,7698.0
Aug-15,Europe,Italy,5603.0
Aug-15,Europe,Russia,3347.0
Aug-15,Europe,United Kingdom,7805.0
Aug-15,Asia,China,40850.0
Aug-15,Asia,India,3467.0
Aug-15,Europe,France,2162.0
Sep-15,Europe,Germany,8140.0
Sep-15,Europe,Italy,2828.0
Sep-15,Europe,Russia,2309.0
Sep-15,Europe,United Kingdom,6799.0
Sep-15,Asia,China,32198.0
Sep-15,Asia,India,3323.0
Sep-15,Europe,France,1664.0
Oct-15,Europe,Germany,12252.0
Oct-15,Europe,Italy,3084.0
Oct-15,Europe,Russia,3860.0
Oct-15,Europe,United Kingdom,7724.0
Oct-15,Asia,China,30714.0
Oct-15,Asia,India,4344.0
Oct-15,Europe,France,3077.0
Nov-15,Europe,Germany,9682.0
Nov-15,Europe,Italy,4429.0
Nov-15,Europe,Russia,3702.0
Nov-15,Europe,United Kingdom,7001.0
Nov-15,Asia,China,19856.0
Nov-15,Asia,India,4857.0
Nov-15,Europe,France,2846.0
Dec-15,Europe,Germany,9640.0
Dec-15,Europe,Italy,11280.0
Dec-15,Europe,Russia,5797.0
Dec-15,Europe,United Kingdom,9531.0
Dec-15,Asia,China,16255.0
Dec-15,Asia,India,7663.0
Dec-15,Europe,France,5001.0
Jan-16,Europe,Germany,7837.0
Jan-16,Europe,Italy,8828.0
Jan-16,Europe,Russia,5272.0
Jan-16,Europe,United Kingdom,7728.0
Jan-16,Asia,China,23241.0
Jan-16,Asia,India,5182.0
Jan-16,Europe,France,5127.0
Feb-16,Europe,Germany,9247.0
Feb-16,Europe,Italy,9253.0
Feb-16,Europe,Russia,3274.0
Feb-16,Europe,United Kingdom,10603.0
Feb-16,Asia,China,34330.0
Feb-16,Asia,India,4650.0
Feb-16,Europe,France,6500.0
Mar-16,Europe,Germany,13268.0
Mar-16,Europe,Italy,9086.0
Mar-16,Europe,Russia,4461.0
Mar-16,Europe,United Kingdom,11095.0
Mar-16,Asia,China,21741.0
Mar-16,Asia,India,4339.0
Mar-16,Europe,France,4798.0
Apr-16,Europe,Germany,8810.0
Apr-16,Europe,Italy,5490.0
Apr-16,Europe,Russia,3363.0
Apr-16,Europe,United Kingdom,8964.0
Apr-16,Asia,China,24794.0
Apr-16,Asia,India,4619.0
Apr-16,Europe,France,4753.0
May-16,Europe,Germany,10141.0
May-16,Europe,Italy,2746.0
May-16,Europe,Russia,3077.0
May-16,Europe,United Kingdom,7253.0
May-16,Asia,China,25005.0
May-16,Asia,India,6651.0
May-16,Europe,France,2286.0
Jun-16,Europe,Germany,4617.0
Jun-16,Europe,Italy,2583.0
Jun-16,Europe,Russia,2939.0
Jun-16,Europe,United Kingdom,5893.0
Jun-16,Asia,China,28653.0
Jun-16,Asia,India,4660.0
Jun-16,Europe,France,778.0
Jul-16,Europe,Germany,6008.0
Jul-16,Europe,Italy,3257.0
Jul-16,Europe,Russia,3415.0
Jul-16,Europe,United Kingdom,7898.0
Jul-16,Asia,China,36456.0
Jul-16,Asia,India,4783.0
Jul-16,Europe,France,1200.0
Aug-16,Europe,Germany,6869.0
Aug-16,Europe,Italy,6507.0
Aug-16,Europe,Russia,3034.0
Aug-16,Europe,United Kingdom,8852.0
Aug-16,Asia,China,36217.0
Aug-16,Asia,India,4175.0
Aug-16,Europe,France,2322.0
Sep-16,Europe,Germany,7826.0
Sep-16,Europe,Italy,3172.0
Sep-16,Europe,Russia,2990.0
Sep-16,Europe,United Kingdom,7797.0
Sep-16,Asia,China,29242.0
Sep-16,Asia,India,5009.0
Sep-16,Europe,France,1765.0
Oct-16,Europe,Germany,13061.0
Oct-16,Europe,Italy,4122.0
Oct-16,Europe,Russia,4387.0
Oct-16,Europe,United Kingdom,9111.0
Oct-16,Asia,China,29444.0
Oct-16,Asia,India,6301.0
Oct-16,Europe,France,3565.0
Nov-16,Europe,Germany,10759.0
Nov-16,Europe,Italy,4987.0
Nov-16,Europe,Russia,4750.0
Nov-16,Europe,United Kingdom,8073.0
Nov-16,Asia,China,18954.0
Nov-16,Asia,India,6895.0
Nov-16,Europe,France,2678.0
Dec-16,Europe,Germany,7938.0
Dec-16,Europe,Italy,11171.0
Dec-16,Europe,Russia,5560.0
Dec-16,Europe,United Kingdom,8576.0
Dec-16,Asia,China,16249.0
Dec-16,Asia,India,9691.0
Dec-16,Europe,France,4715.0
Jan-17,Europe,Germany,7803.0
Jan-17,Europe,Italy,12079.0
Jan-17,Europe,Russia,6874.0
Jan-17,Europe,United Kingdom,8630.0
Jan-17,Asia,China,30669.0
Jan-17,Asia,India,6043.0
Jan-17,Europe,France,4868.0
Feb-17,Europe,Germany,8874.0
Feb-17,Europe,Italy,11215.0
Feb-17,Europe,Russia,5113.0
Feb-17,Europe,United Kingdom,10395.0
Feb-17,Asia,China,24263.0
Feb-17,Asia,India,6105.0
Feb-17,Europe,France,6785.0
Mar-17,Europe,Germany,10216.0
Mar-17,Europe,Italy,9900.0
Mar-17,Europe,Russia,6413.0
Mar-17,Europe,United Kingdom,10063.0
Mar-17,Asia,China,18203.0
Mar-17,Asia,India,5008.0
Mar-17,Europe,France,5192.0
Apr-17,Europe,Germany,11172.0
Apr-17,Europe,Italy,8601.0
Apr-17,Europe,Russia,5400.0
Apr-17,Europe,United Kingdom,9417.0
Apr-17,Asia,China,20975.0
Apr-17,Asia,India,5362.0
Apr-17,Europe,France,4938.0
May-17,Europe,Germany,8742.0
May-17,Europe,Italy,3131.0
May-17,Europe,Russia,3564.0
May-17,Europe,United Kingdom,7151.0
May-17,Asia,China,23225.0
May-17,Asia,India,8092.0
May-17,Europe,France,2161.0
Jun-17,Europe,Germany,6885.0
Jun-17,Europe,Italy,2768.0
Jun-17,Europe,Russia,3262.0
Jun-17,Europe,United Kingdom,6081.0
Jun-17,Asia,China,24160.0
Jun-17,Asia,India,6919.0
Jun-17,Europe,France,701.0
Jul-17,Europe,Germany,6830.0
Jul-17,Europe,Italy,3698.0
Jul-17,Europe,Russia,4144.0
Jul-17,Europe,United Kingdom,7705.0
Jul-17,Asia,China,34276.0
Jul-17,Asia,India,5386.0
Jul-17,Europe,France,1504.0
Aug-17,Europe,Germany,6916.0
Aug-17,Europe,Italy,7227.0
Aug-17,Europe,Russia,4166.0
Aug-17,Europe,United Kingdom,8565.0
Aug-17,Asia,China,33743.0
Aug-17,Asia,India,6024.0
Aug-17,Europe,France,2695.0
Sep-17,Europe,Germany,8793.0
Sep-17,Europe,Italy,3577.0
Sep-17,Europe,Russia,3522.0
Sep-17,Europe,United Kingdom,7499.0
Sep-17,Asia,China,27214.0
Sep-17,Asia,India,6788.0
Sep-17,Europe,France,1515.0
Oct-17,Europe,Germany,15007.0
