Month,Breakdown,Country,Number of Tourists
Jul-17,UN passport holders and others,Unknown,
Aug-17,Europe,Unknown,17896.0
Aug-17,Asia,Unknown,17934.0
Aug-17,Africa,Unknown,
Aug-17,Americas,Unknown,
Aug-17,Oceania,Unknown,
Aug-17,Middle East,Unknown,
Aug-17,UN passport holders and others,Unknown,
Sep-17,Europe,Unknown,15108.0
Sep-17,Asia,Unknown,17530.0
Sep-17,Africa,Unknown,
Sep-17,Americas,Unknown,
Sep-17,Oceania,Unknown,
Sep-17,Middle East,Unknown,
Sep-17,UN passport holders and others,Unknown,
Oct-17,Europe,Unknown,24285.0
Oct-17,Asia,Unknown,18871.0
Oct-17,Africa,Unknown,
Oct-17,Americas,Unknown,
Oct-17,Oceania,Unknown,
Oct-17,Middle East,Unknown,
Oct-17,UN passport holders and others,Unknown,
Nov-17,Europe,Unknown,21979.0
Nov-17,Asia,Unknown,18937.0
Nov-17,Africa,Unknown,
Nov-17,Americas,Unknown,
Nov-17,Oceania,Unknown,
Nov-17,Middle East,Unknown,
Nov-17,UN passport holders and others,Unknown,
Dec-17,Europe,Unknown,27767.0
Dec-17,Asia,Unknown,20566.0
Dec-17,Africa,Unknown,
Dec-17,Americas,Unknown,
Dec-17,Oceania,Unknown,
Dec-17,Middle East,Unknown,
Dec-17,UN passport holders and others,Unknown,
Jan-18,Europe,Unknown,28573.0
Jan-18,Asia,Unknown,14819.0
Jan-18,Africa,Unknown,
Jan-18,Americas,Unknown,
Jan-18,Oceania,Unknown,
Jan-18,Middle East,Unknown,
Jan-18,UN passport holders and others,Unknown,
Feb-18,Europe,Unknown,29590.0
Feb-18,Asia,Unknown,13783.0
Feb-18,Africa,Unknown,
Feb-18,Americas,Unknown,
Feb-18,Oceania,Unknown,
Feb-18,Middle East,Unknown,
Feb-18,UN passport holders and others,Unknown,
Mar-18,Europe,Unknown,28345.0
Mar-18,Asia,Unknown,18217.0
Mar-18,Africa,Unknown,
Mar-18,Americas,Unknown,
Mar-18,Oceania,Unknown,
Mar-18,Middle East,Unknown,
Mar-18,UN passport holders and others,Unknown,
Apr-18,Europe,Unknown,22210.0
Apr-18,Asia,Unknown,19862.0
Apr-18,Africa,Unknown,
Apr-18,Americas,Unknown,
Apr-18,Oceania,Unknown,
Apr-18,Middle East,Unknown,
Apr-18,UN passport holders and others,Unknown,
May-18,Europe,Unknown,12095.0
May-18,Asia,Unknown,16746.0
May-18,Africa,Unknown,
May-18,Americas,Unknown,
May-18,Oceania,Unknown,
May-18,Middle East,Unknown,
May-18,UN passport holders and others,Unknown,
Jun-18,Europe,Unknown,11093.0
Jun-18,Asia,Unknown,19462.0
Jun-18,Africa,Unknown,
Jun-18,Americas,Unknown,
Jun-18,Oceania,Unknown,
Jun-18,Middle East,Unknown,
Jun-18,UN passport holders and others,Unknown,
Jul-18,Europe,Unknown,21193.0
Jul-18,Asia,Unknown,18431.0
Jul-18,Africa,Unknown,
Jul-18,Americas,Unknown,
Jul-18,Oceania,Unknown,
Jul-18,Middle East,Unknown,
Jul-18,UN passport holders and others,Unknown,
Aug-18,Europe,Unknown,20847.0
Aug-18,Asia,Unknown,17039.0
Aug-18,Africa,Unknown,
Aug-18,Americas,Unknown,
Aug-18,Oceania,Unknown,
Aug-18,Middle East,Unknown,
Aug-18,UN passport holders and others,Unknown,
Sep-18,Europe,Unknown,17014.0
Sep-18,Asia,Unknown,15709.0
Sep-18,Africa,Unknown,
Sep-18,Americas,Unknown,
Sep-18,Oceania,Unknown,
Sep-18,Middle East,Unknown,
Sep-18,UN passport holders and others,Unknown,
Oct-18,Europe,Unknown,24403.0
Oct-18,Asia,Unknown,17195.0
Oct-18,Africa,Unknown,
Oct-18,Americas,Unknown,
Oct-18,Oceania,Unknown,
Oct-18,Middle East,Unknown,
Oct-18,UN passport holders and others,Unknown,
Nov-18,Europe,Unknown,22469.0
Nov-18,Asia,Unknown,16899.0
Nov-18,Africa,Unknown,
Nov-18,Americas,Unknown,
Nov-18,Oceania,Unknown,
Nov-18,Middle East,Unknown,
Nov-18,UN passport holders and others,Unknown,
Dec-18,Europe,Unknown,29746.0
Dec-18,Asia,Unknown,19176.0
Dec-18,Africa,Unknown,
Dec-18,Americas,Unknown,
Dec-18,Oceania,Unknown,
Dec-18,Middle East,Unknown,
Dec-18,UN passport holders and others,Unknown,
Jan-19,Europe,Unknown,29945.0
Jan-19,Asia,Unknown,14176.0
Jan-19,Africa,Unknown,
Jan-19,Americas,Unknown,
Jan-19,Oceania,Unknown,
Jan-19,Middle East,Unknown,
Jan-19,UN passport holders and others,Unknown,
Feb-19,Europe,Unknown,33054.0
Feb-19,Asia,Unknown,15178.0
Feb-19,Africa,Unknown,
Feb-19,Americas,Unknown,
Feb-19,Oceania,Unknown,
Feb-19,Middle East,Unknown,
Feb-19,UN passport holders and others,Unknown,
Mar-19,Europe,Unknown,27401.0
Mar-19,Asia,Unknown,18176.0
Mar-19,Africa,Unknown,
Mar-19,Americas,Unknown,
Mar-19,Oceania,Unknown,
Mar-19,Middle East,Unknown,
Mar-19,UN passport holders and others,Unknown,
Apr-19,Europe,Unknown,28810.0
Apr-19,Asia,Unknown,22873.0
Apr-19,Africa,Unknown,
Apr-19,Americas,Unknown,
Apr-19,Oceania,Unknown,
Apr-19,Middle East,Unknown,
Apr-19,UN passport holders and others,Unknown,
May-19,Europe,Unknown,11471.0
May-19,Asia,Unknown,15674.0
May-19,Africa,Unknown,
May-19,Americas,Unknown,
May-19,Oceania,Unknown,
May-19,Middle East,Unknown,
May-19,UN passport holders and others,Unknown,
Jun-19,Europe,Unknown,13429.0
Jun-19,Asia,Unknown,18252.0
Jun-19,Africa,Unknown,
Jun-19,Americas,Unknown,
Jun-19,Oceania,Unknown,
Jun-19,Middle East,Unknown,
Jun-19,UN passport holders and others,Unknown,
Jul-19,Europe,Unknown,23658.0
Jul-19,Asia,Unknown,16608.0
Jul-19,Africa,Unknown,
Jul-19,Americas,Unknown,
Jul-19,Oceania,Unknown,
Jul-19,Middle East,Unknown,
Jul-19,UN passport holders and others,Unknown,
Aug-19,Europe,Unknown,22342.0
Aug-19,Asia,Unknown,17967.0
Aug-19,Africa,Unknown,
Aug-19,Americas,Unknown,
Aug-19,Oceania,Unknown,
Aug-19,Middle East,Unknown,
Aug-19,UN passport holders and others,Unknown,
Sep-19,Europe,Unknown,19452.0
Sep-19,Asia,Unknown,17003.0
Sep-19,Africa,Unknown,
Sep-19,Americas,Unknown,
Sep-19,Oceania,Unknown,
Sep-19,Middle East,Unknown,
Sep-19,UN passport holders and others,Unknown,
Oct-19,Europe,Unknown,27587.0
Oct-19,Asia,Unknown,18803.0
Oct-19,Africa,Unknown,
Oct-19,Americas,Unknown,
Oct-19,Oceania,Unknown,
Oct-19,Middle East,Unknown,
Oct-19,UN passport holders and others,Unknown,
Nov-19,Europe,Unknown,26282.0
Nov-19,Asia,Unknown,16213.0
Nov-19,Africa,Unknown,
Nov-19,Americas,Unknown,
Nov-19,Oceania,Unknown,
Nov-19,Middle East,Unknown,
Nov-19,UN passport holders and others,Unknown,
Dec-19,Europe,Unknown,33298.0
Dec-19,Asia,Unknown,20018.0
Dec-19,Africa,Unknown,
Dec-19,Americas,Unknown,
Dec-19,Oceania,Unknown,
Dec-19,Middle East,Unknown,
Dec-19,UN passport holders and others,Unknown,
Jan-20,Europe,Unknown,33880.0
Jan-20,Asia,Unknown,13173.0
Jan-20,Africa,Unknown,
Jan-20,Americas,Unknown,
Jan-20,Oceania,Unknown,
Jan-20,Middle East,Unknown,
Jan-20,UN passport holders and others,Unknown,
Feb-20,Europe,Unknown,35528.0
Feb-20,Asia,Unknown,14617.0
Feb-20,Africa,Unknown,
Feb-20,Americas,Unknown,2917.0
Feb-20,Oceania,Unknown,220.0
Feb-20,Middle East,Unknown,
Feb-20,UN passport holders and others,Unknown,
Mar-20,Europe,Unknown,13290.0
Mar-20,Asia,Unknown,4959.0
Mar-20,Africa,Unknown,
Mar-20,Americas,Unknown,1363.0
Mar-20,Oceania,Unknown,80.0
Mar-20,Middle East,Unknown,
Mar-20,UN passport holders and others,Unknown,
Apr-20,Europe,Unknown,0.0
Apr-20,Asia,Unknown,11.0
Apr-20,Africa,Unknown,
Apr-20,Americas,Unknown,0.0
Apr-20,Oceania,Unknown,0.0
Apr-20,Middle East,Unknown,
Apr-20,UN passport holders and others,Unknown,
May-20,Europe,Unknown,24.0
May-20,Asia,Unknown,3.0
May-20,Africa,Unknown,
May-20,Americas,Unknown,0.0
May-20,Oceania,Unknown,0.0
May-20,Middle East,Unknown,
May-20,UN passport holders and others,Unknown,
Jun-20,Europe,Unknown,0.0
Jun-20,Asia,Unknown,0.0
Jun-20,Africa,Unknown,
Jun-20,Americas,Unknown,0.0
Jun-20,Oceania,Unknown,0.0
Jun-20,Middle East,Unknown,
Jun-20,UN passport holders and others,Unknown,
Jul-20,Europe,Unknown,501.0
Jul-20,Asia,Unknown,75.0
Jul-20,Africa,Unknown,
Jul-20,Americas,Unknown,66.0
Jul-20,Oceania,Unknown,12.0
Jul-20,Middle East,Unknown,
Jul-20,UN passport holders and others,Unknown,
Aug-20,Europe,Unknown,1570.0
Aug-20,Asia,Unknown,396.0
Aug-20,Africa,Unknown,
Aug-20,Americas,Unknown,296.0
Aug-20,Oceania,Unknown,13.0
Aug-20,Middle East,Unknown,
Aug-20,UN passport holders and others,Unknown,
Sep-20,Europe,Unknown,2113.0
Sep-20,Asia,Unknown,371.0
Sep-20,Africa,Unknown,
Sep-20,Americas,Unknown,584.0
Sep-20,Oceania,Unknown,5.0
Sep-20,Middle East,Unknown,
Sep-20,UN passport holders and others,Unknown,
Oct-20,Europe,Unknown,4869.0
Oct-20,Asia,Unknown,690.0
Oct-20,Africa,Unknown,
Oct-20,Americas,Unknown,827.0
Oct-20,Oceania,Unknown,29.0
Oct-20,Middle East,Unknown,
Oct-20,UN passport holders and others,Unknown,
Nov-20,Europe,Unknown,6984.0
Nov-20,Asia,Unknown,888.0
Nov-20,Africa,Unknown,
Nov-20,Americas,Unknown,1297.0
Nov-20,Oceania,Unknown,27.0
Nov-20,Middle East,Unknown,
Nov-20,UN passport holders and others,Unknown,
Dec-20,Europe,Unknown,24327.0
Dec-20,Asia,Unknown,1891.0
Dec-20,Africa,Unknown,
Dec-20,Americas,Unknown,1924.0
Dec-20,Oceania,Unknown,121.0
Dec-20,Middle East,Unknown,
Dec-20,UN passport holders and others,Unknown,
